algorithm,operation,security_level,time_us,run_number,energy_uj
ML-KEM,keygen,512,10627,1,841.7
ML-KEM,keygen,512,10230,2,810.2
ML-KEM,keygen,512,9914,3,785.2
ML-KEM,keygen,512,9904,4,784.4
ML-KEM,keygen,512,9893,5,783.5
ML-KEM,keygen,512,10119,6,801.4
ML-KEM,keygen,512,9907,7,784.6
ML-KEM,keygen,512,9884,8,782.8
ML-KEM,keygen,512,9902,9,784.2
ML-KEM,keygen,512,9880,10,782.5
ML-KEM,keygen,512,9888,11,783.1
ML-KEM,keygen,512,9907,12,784.6
ML-KEM,keygen,512,9886,13,783.0
ML-KEM,keygen,512,9896,14,783.8
ML-KEM,keygen,512,9897,15,783.8
ML-KEM,keygen,512,9900,16,784.1
ML-KEM,keygen,512,9899,17,784.0
ML-KEM,keygen,512,9898,18,783.9
ML-KEM,keygen,512,9900,19,784.1
ML-KEM,keygen,512,9904,20,784.4
ML-KEM,keygen,512,9891,21,783.4
ML-KEM,keygen,512,9876,22,782.2
ML-KEM,keygen,512,9893,23,783.5
ML-KEM,keygen,512,9914,24,785.2
ML-KEM,keygen,512,9899,25,784.0
ML-KEM,keygen,512,9899,26,784.0
ML-KEM,keygen,512,9903,27,784.3
ML-KEM,keygen,512,9892,28,783.4
ML-KEM,keygen,512,9897,29,783.8
ML-KEM,keygen,512,9892,30,783.4
ML-KEM,encaps,512,11705,1,927.0
ML-KEM,encaps,512,11879,2,940.8
ML-KEM,encaps,512,11857,3,939.1
ML-KEM,encaps,512,11778,4,932.8
ML-KEM,encaps,512,11766,5,931.9
ML-KEM,encaps,512,11780,6,933.0
ML-KEM,encaps,512,11796,7,934.2
ML-KEM,encaps,512,11789,8,933.7
ML-KEM,encaps,512,11809,9,935.3
ML-KEM,encaps,512,11778,10,932.8
ML-KEM,encaps,512,11785,11,933.4
ML-KEM,encaps,512,11808,12,935.2
ML-KEM,encaps,512,11780,13,933.0
ML-KEM,encaps,512,11810,14,935.4
ML-KEM,encaps,512,11796,15,934.2
ML-KEM,encaps,512,11792,16,933.9
ML-KEM,encaps,512,11784,17,933.3
ML-KEM,encaps,512,11797,18,934.3
ML-KEM,encaps,512,11790,19,933.8
ML-KEM,encaps,512,11778,20,932.8
ML-KEM,encaps,512,11817,21,935.9
ML-KEM,encaps,512,11809,22,935.3
ML-KEM,encaps,512,11798,23,934.4
ML-KEM,encaps,512,11772,24,932.3
ML-KEM,encaps,512,11770,25,932.2
ML-KEM,encaps,512,11778,26,932.8
ML-KEM,encaps,512,11807,27,935.1
ML-KEM,encaps,512,11769,28,932.1
ML-KEM,encaps,512,11784,29,933.3
ML-KEM,encaps,512,11781,30,933.1
ML-KEM,decaps,512,14392,1,1139.8
ML-KEM,decaps,512,14580,2,1154.7
ML-KEM,decaps,512,14558,3,1153.0
ML-KEM,decaps,512,14551,4,1152.4
ML-KEM,decaps,512,14533,5,1151.0
ML-KEM,decaps,512,14520,6,1150.0
ML-KEM,decaps,512,14532,7,1150.9
ML-KEM,decaps,512,14540,8,1151.6
ML-KEM,decaps,512,14514,9,1149.5
ML-KEM,decaps,512,14534,10,1151.1
ML-KEM,decaps,512,14539,11,1151.5
ML-KEM,decaps,512,14529,12,1150.7
ML-KEM,decaps,512,14540,13,1151.6
ML-KEM,decaps,512,14527,14,1150.5
ML-KEM,decaps,512,14531,15,1150.9
ML-KEM,decaps,512,14532,16,1150.9
ML-KEM,decaps,512,14529,17,1150.7
ML-KEM,decaps,512,14509,18,1149.1
ML-KEM,decaps,512,14517,19,1149.7
ML-KEM,decaps,512,14530,20,1150.8
ML-KEM,decaps,512,14526,21,1150.5
ML-KEM,decaps,512,14528,22,1150.6
ML-KEM,decaps,512,14551,23,1152.4
ML-KEM,decaps,512,14550,24,1152.4
ML-KEM,decaps,512,14547,25,1152.1
ML-KEM,decaps,512,14517,26,1149.7
ML-KEM,decaps,512,14541,27,1151.6
ML-KEM,decaps,512,14545,28,1152.0
ML-KEM,decaps,512,14534,29,1151.1
ML-KEM,decaps,512,14534,30,1151.1
ML-KEM,keygen,768,16391,1,1298.2
ML-KEM,keygen,768,16067,2,1272.5
ML-KEM,keygen,768,16003,3,1267.4
ML-KEM,keygen,768,16000,4,1267.2
ML-KEM,keygen,768,15997,5,1267.0
ML-KEM,keygen,768,15987,6,1266.2
ML-KEM,keygen,768,15992,7,1266.6
ML-KEM,keygen,768,15987,8,1266.2
ML-KEM,keygen,768,16240,9,1286.2
ML-KEM,keygen,768,15980,10,1265.6
ML-KEM,keygen,768,15990,11,1266.4
ML-KEM,keygen,768,15991,12,1266.5
ML-KEM,keygen,768,16005,13,1267.6
ML-KEM,keygen,768,16000,14,1267.2
ML-KEM,keygen,768,15989,15,1266.3
ML-KEM,keygen,768,15979,16,1265.5
ML-KEM,keygen,768,16006,17,1267.7
ML-KEM,keygen,768,15983,18,1265.9
ML-KEM,keygen,768,15983,19,1265.9
ML-KEM,keygen,768,15999,20,1267.1
ML-KEM,keygen,768,15991,21,1266.5
ML-KEM,keygen,768,15990,22,1266.4
ML-KEM,keygen,768,15998,23,1267.0
ML-KEM,keygen,768,15995,24,1266.8
ML-KEM,keygen,768,15984,25,1265.9
ML-KEM,keygen,768,15989,26,1266.3
ML-KEM,keygen,768,15998,27,1267.0
ML-KEM,keygen,768,15999,28,1267.1
ML-KEM,keygen,768,16237,29,1286.0
ML-KEM,keygen,768,15992,30,1266.6
