algorithm,operation,security_level,time_us,run_number
ML-KEM,decaps,768,22045,5
ML-KEM,decaps,768,22043,6
ML-KEM,decaps,768,22025,7
ML-KEM,decaps,768,22036,8
ML-KEM,decaps,768,22046,9
ML-KEM,decaps,768,22048,10
ML-KEM,decaps,768,22053,11
ML-KEM,decaps,768,22045,12
ML-KEM,decaps,768,22040,13
ML-KEM,decaps,768,22031,14
ML-KEM,decaps,768,22017,15
ML-KEM,decaps,768,22025,16
ML-KEM,decaps,768,22019,17
ML-KEM,decaps,768,22055,18
ML-KEM,decaps,768,22038,19
ML-KEM,decaps,768,22032,20
ML-KEM,decaps,768,22013,21
ML-KEM,decaps,768,22046,22
ML-KEM,decaps,768,22039,23
ML-KEM,decaps,768,22040,24
ML-KEM,decaps,768,22037,25
ML-KEM,decaps,768,22034,26
ML-KEM,decaps,768,22043,27
ML-KEM,decaps,768,22035,28
ML-KEM,decaps,768,22022,29
ML-KEM,decaps,768,22033,30
ML-KEM,keygen,1024,25454,1
ML-KEM,keygen,1024,25428,2
ML-KEM,keygen,1024,25141,3
ML-KEM,keygen,1024,25135,4
ML-KEM,keygen,1024,25133,5
ML-KEM,keygen,1024,25126,6
ML-KEM,keygen,1024,25120,7
ML-KEM,keygen,1024,25148,8
ML-KEM,keygen,1024,25149,9
ML-KEM,keygen,1024,25145,10
ML-KEM,keygen,1024,25137,11
ML-KEM,keygen,1024,25121,12
ML-KEM,keygen,1024,25126,13
ML-KEM,keygen,1024,25348,14
ML-KEM,keygen,1024,25144,15
ML-KEM,keygen,1024,25136,16
ML-KEM,keygen,1024,25128,17
ML-KEM,keygen,1024,25357,18
ML-KEM,keygen,1024,25138,19
ML-KEM,keygen,1024,25144,20
ML-KEM,keygen,1024,25120,21
ML-KEM,keygen,1024,25127,22
ML-KEM,keygen,1024,25124,23
ML-KEM,keygen,1024,25119,24
ML-KEM,keygen,1024,25376,25
ML-KEM,keygen,1024,25107,26
ML-KEM,keygen,1024,25595,27
ML-KEM,keygen,1024,25391,28
ML-KEM,keygen,1024,25147,29
ML-KEM,keygen,1024,25124,30
