# PQC Benchmark Suite (Local PC)
# Using PQClean reference C implementations
# Timer: QueryPerformanceCounter (10000000 ticks/sec)
#
algorithm,operation,security_level,time_us,run_number
ML-DSA,keygen,65,1274,9
ML-DSA,keygen,65,1218,10
ML-DSA,keygen,65,1216,11
ML-DSA,keygen,65,1219,12
ML-DSA,keygen,65,1278,13
ML-DSA,keygen,65,1224,14
ML-DSA,keygen,65,1229,15
ML-DSA,keygen,65,1268,16
ML-DSA,keygen,65,1390,17
ML-DSA,keygen,65,1245,18
ML-DSA,keygen,65,1221,19
ML-DSA,keygen,65,1299,20
ML-DSA,keygen,65,1302,21
ML-DSA,keygen,65,1212,22
ML-DSA,keygen,65,1264,23
ML-DSA,keygen,65,1265,24
ML-DSA,keygen,65,1258,25
ML-DSA,keygen,65,1264,26
ML-DSA,keygen,65,1280,27
ML-DSA,keygen,65,1288,28
ML-DSA,keygen,65,1424,29
ML-DSA,keygen,65,1486,30
# SUMMARY ML-DSA keygen 65: mean=1292 min=1212 max=1523 stddev=77.7 cv=6.01% (n=30)
ML-DSA,sign,65,5856,1
ML-DSA,sign,65,3017,2
ML-DSA,sign,65,8497,3
ML-DSA,sign,65,3974,4
ML-DSA,sign,65,3769,5
ML-DSA,sign,65,4356,6
ML-DSA,sign,65,2664,7
ML-DSA,sign,65,5447,8
ML-DSA,sign,65,1718,9
ML-DSA,sign,65,2144,10
ML-DSA,sign,65,4701,11
ML-DSA,sign,65,2364,12
ML-DSA,sign,65,3831,13
ML-DSA,sign,65,1814,14
ML-DSA,sign,65,5637,15
ML-DSA,sign,65,4786,16
ML-DSA,sign,65,2583,17
ML-DSA,sign,65,1595,18
ML-DSA,sign,65,2599,19
ML-DSA,sign,65,2228,20
ML-DSA,sign,65,7161,21
ML-DSA,sign,65,1725,22
ML-DSA,sign,65,6308,23
ML-DSA,sign,65,8538,24
ML-DSA,sign,65,2114,25
ML-DSA,sign,65,1655,26
ML-DSA,sign,65,2183,27
ML-DSA,sign,65,3163,28
ML-DSA,sign,65,6387,29
ML-DSA,sign,65,3925,30
ML-DSA,sign,65,7559,31
ML-DSA,sign,65,2337,32
ML-DSA,sign,65,5523,33
ML-DSA,sign,65,2529,34
ML-DSA,sign,65,4728,35
ML-DSA,sign,65,3043,36
ML-DSA,sign,65,3965,37
ML-DSA,sign,65,1603,38
ML-DSA,sign,65,4021,39
ML-DSA,sign,65,2759,40
ML-DSA,sign,65,3876,41
ML-DSA,sign,65,2243,42
ML-DSA,sign,65,5444,43
ML-DSA,sign,65,1598,44
ML-DSA,sign,65,7382,45
ML-DSA,sign,65,2167,46
ML-DSA,sign,65,4781,47
ML-DSA,sign,65,4753,48
ML-DSA,sign,65,2255,49
ML-DSA,sign,65,4389,50
ML-DSA,sign,65,4912,51
ML-DSA,sign,65,2971,52
ML-DSA,sign,65,3928,53
ML-DSA,sign,65,2340,54
ML-DSA,sign,65,4370,55
ML-DSA,sign,65,3447,56
ML-DSA,sign,65,2564,57
ML-DSA,sign,65,2470,58
ML-DSA,sign,65,1552,59
ML-DSA,sign,65,2012,60
ML-DSA,sign,65,1663,61
ML-DSA,sign,65,2017,62
ML-DSA,sign,65,4139,63
ML-DSA,sign,65,7707,64
ML-DSA,sign,65,2274,65
ML-DSA,sign,65,3238,66
ML-DSA,sign,65,2778,67
ML-DSA,sign,65,4797,68
ML-DSA,sign,65,3898,69
ML-DSA,sign,65,3241,70
ML-DSA,sign,65,7005,71
ML-DSA,sign,65,4737,72
ML-DSA,sign,65,1684,73
ML-DSA,sign,65,3081,74
ML-DSA,sign,65,3433,75
ML-DSA,sign,65,5045,76
ML-DSA,sign,65,3421,77
ML-DSA,sign,65,1795,78
ML-DSA,sign,65,2136,79
ML-DSA,sign,65,2624,80
ML-DSA,sign,65,4563,81
ML-DSA,sign,65,19972,82
ML-DSA,sign,65,1869,83
ML-DSA,sign,65,4885,84
ML-DSA,sign,65,2378,85
ML-DSA,sign,65,2952,86
ML-DSA,sign,65,3832,87
ML-DSA,sign,65,2487,88
ML-DSA,sign,65,1815,89
ML-DSA,sign,65,1800,90
ML-DSA,sign,65,6451,91
ML-DSA,sign,65,8105,92
ML-DSA,sign,65,8415,93
ML-DSA,sign,65,4923,94
ML-DSA,sign,65,6461,95
ML-DSA,sign,65,3920,96
ML-DSA,sign,65,3600,97
ML-DSA,sign,65,2793,98
ML-DSA,sign,65,7532,99
ML-DSA,sign,65,6243,100
# SUMMARY ML-DSA sign 65: mean=4000 min=1552 max=19972 stddev=2452.7 cv=61.32% (n=100)
ML-DSA,verify,65,988,1
ML-DSA,verify,65,970,2
ML-DSA,verify,65,975,3
ML-DSA,verify,65,1379,4
ML-DSA,verify,65,992,5
ML-DSA,verify,65,979,6
ML-DSA,verify,65,991,7
ML-DSA,verify,65,1227,8
ML-DSA,verify,65,1729,9
ML-DSA,verify,65,1737,10
ML-DSA,verify,65,1692,11
ML-DSA,verify,65,1246,12
ML-DSA,verify,65,1015,13
