# PQC Benchmark Suite (Local PC)
# Using PQClean reference C implementations
# Timer: QueryPerformanceCounter (10000000 ticks/sec)
#
algorithm,operation,security_level,time_us,run_number
ML-KEM,decaps,768,529,11
ML-KEM,decaps,768,486,12
ML-KEM,decaps,768,569,13
ML-KEM,decaps,768,553,14
ML-KEM,decaps,768,485,15
ML-KEM,decaps,768,529,16
ML-KEM,decaps,768,762,17
ML-KEM,decaps,768,735,18
ML-KEM,decaps,768,551,19
ML-KEM,decaps,768,490,20
ML-KEM,decaps,768,502,21
ML-KEM,decaps,768,474,22
ML-KEM,decaps,768,475,23
ML-KEM,decaps,768,478,24
ML-KEM,decaps,768,480,25
ML-KEM,decaps,768,568,26
ML-KEM,decaps,768,684,27
ML-KEM,decaps,768,625,28
ML-KEM,decaps,768,551,29
ML-KEM,decaps,768,476,30
# SUMMARY ML-KEM decaps 768: mean=523 min=444 max=762 stddev=80.0 cv=15.30% (n=30)
# CORRECTNESS: ML-KEM-768 shared secrets MATCH
# --- ML-KEM-1024 ---
# PK=1568 SK=3168 CT=1568 SS=32 bytes
ML-KEM,keygen,1024,934,1
ML-KEM,keygen,1024,830,2
ML-KEM,keygen,1024,773,3
ML-KEM,keygen,1024,795,4
ML-KEM,keygen,1024,799,5
ML-KEM,keygen,1024,785,6
ML-KEM,keygen,1024,807,7
ML-KEM,keygen,1024,1152,8
ML-KEM,keygen,1024,1123,9
ML-KEM,keygen,1024,846,10
ML-KEM,keygen,1024,800,11
ML-KEM,keygen,1024,789,12
ML-KEM,keygen,1024,786,13
ML-KEM,keygen,1024,817,14
ML-KEM,keygen,1024,759,15
ML-KEM,keygen,1024,801,16
ML-KEM,keygen,1024,928,17
ML-KEM,keygen,1024,821,18
ML-KEM,keygen,1024,783,19
ML-KEM,keygen,1024,800,20
ML-KEM,keygen,1024,755,21
ML-KEM,keygen,1024,796,22
ML-KEM,keygen,1024,819,23
ML-KEM,keygen,1024,799,24
ML-KEM,keygen,1024,786,25
ML-KEM,keygen,1024,842,26
ML-KEM,keygen,1024,802,27
ML-KEM,keygen,1024,790,28
ML-KEM,keygen,1024,782,29
ML-KEM,keygen,1024,792,30
# SUMMARY ML-KEM keygen 1024: mean=830 min=755 max=1152 stddev=90.9 cv=10.96% (n=30)
ML-KEM,encaps,1024,865,1
ML-KEM,encaps,1024,869,2
ML-KEM,encaps,1024,850,3
ML-KEM,encaps,1024,869,4
ML-KEM,encaps,1024,872,5
ML-KEM,encaps,1024,966,6
ML-KEM,encaps,1024,926,7
ML-KEM,encaps,1024,917,8
ML-KEM,encaps,1024,945,9
ML-KEM,encaps,1024,887,10
ML-KEM,encaps,1024,979,11
ML-KEM,encaps,1024,1000,12
ML-KEM,encaps,1024,909,13
ML-KEM,encaps,1024,849,14
ML-KEM,encaps,1024,846,15
ML-KEM,encaps,1024,855,16
ML-KEM,encaps,1024,848,17
ML-KEM,encaps,1024,832,18
