algorithm,operation,security_level,time_us,run_number,energy_uj
ML-KEM,encaps,768,18592,4,1472.5
ML-KEM,encaps,768,18592,5,1472.5
ML-KEM,encaps,768,18583,6,1471.8
ML-KEM,encaps,768,18595,7,1472.7
ML-KEM,encaps,768,18558,8,1469.8
ML-KEM,encaps,768,18574,9,1471.1
ML-KEM,encaps,768,18586,10,1472.0
ML-KEM,encaps,768,18567,11,1470.5
ML-KEM,encaps,768,18591,12,1472.4
ML-KEM,encaps,768,18584,13,1471.9
ML-KEM,encaps,768,18578,14,1471.4
ML-KEM,encaps,768,18588,15,1472.2
ML-KEM,encaps,768,18561,16,1470.0
ML-KEM,encaps,768,18591,17,1472.4
ML-KEM,encaps,768,18571,18,1470.8
ML-KEM,encaps,768,18565,19,1470.3
ML-KEM,encaps,768,18585,20,1471.9
ML-KEM,encaps,768,18572,21,1470.9
ML-KEM,encaps,768,18580,22,1471.5
ML-KEM,encaps,768,18579,23,1471.5
ML-KEM,encaps,768,18581,24,1471.6
ML-KEM,encaps,768,18573,25,1471.0
ML-KEM,encaps,768,18564,26,1470.3
ML-KEM,encaps,768,18575,27,1471.1
ML-KEM,encaps,768,18565,28,1470.3
ML-KEM,encaps,768,18562,29,1470.1
ML-KEM,encaps,768,18583,30,1471.8
ML-KEM,decaps,768,21960,1,1739.2
ML-KEM,decaps,768,22091,2,1749.6
ML-KEM,decaps,768,22035,3,1745.2
ML-KEM,decaps,768,22039,4,1745.5
ML-KEM,decaps,768,22039,5,1745.5
ML-KEM,decaps,768,22059,6,1747.1
ML-KEM,decaps,768,22026,7,1744.5
ML-KEM,decaps,768,22025,8,1744.4
ML-KEM,decaps,768,22033,9,1745.0
ML-KEM,decaps,768,22025,10,1744.4
ML-KEM,decaps,768,22016,11,1743.7
ML-KEM,decaps,768,22031,12,1744.9
ML-KEM,decaps,768,22016,13,1743.7
ML-KEM,decaps,768,22011,14,1743.3
ML-KEM,decaps,768,22042,15,1745.7
ML-KEM,decaps,768,22037,16,1745.3
ML-KEM,decaps,768,22029,17,1744.7
