algorithm,operation,security_level,time_us,run_number,energy_uj
ML-KEM,encaps,768,18572,21,1470.9
ML-KEM,encaps,768,18578,22,1471.4
ML-KEM,encaps,768,18581,23,1471.6
ML-KEM,encaps,768,18588,24,1472.2
ML-KEM,encaps,768,18588,25,1472.2
ML-KEM,encaps,768,18584,26,1471.9
ML-KEM,encaps,768,18580,27,1471.5
ML-KEM,encaps,768,18582,28,1471.7
ML-KEM,encaps,768,18574,29,1471.1
ML-KEM,encaps,768,18598,30,1473.0
ML-KEM,decaps,768,21947,1,1738.2
ML-KEM,decaps,768,22044,2,1745.9
ML-KEM,decaps,768,22017,3,1743.7
ML-KEM,decaps,768,22045,4,1746.0
ML-KEM,decaps,768,22019,5,1743.9
ML-KEM,decaps,768,22018,6,1743.8
ML-KEM,decaps,768,22021,7,1744.1
ML-KEM,decaps,768,22017,8,1743.7
ML-KEM,decaps,768,22004,9,1742.7
ML-KEM,decaps,768,22004,10,1742.7
ML-KEM,decaps,768,22015,11,1743.6
ML-KEM,decaps,768,22016,12,1743.7
ML-KEM,decaps,768,22033,13,1745.0
ML-KEM,decaps,768,22014,14,1743.5
ML-KEM,decaps,768,22013,15,1743.4
ML-KEM,decaps,768,22017,16,1743.7
ML-KEM,decaps,768,22015,17,1743.6
ML-KEM,decaps,768,22032,18,1744.9
ML-KEM,decaps,768,22015,19,1743.6
ML-KEM,decaps,768,22003,20,1742.6
ML-KEM,decaps,768,22004,21,1742.7
ML-KEM,decaps,768,22003,22,1742.6
ML-KEM,decaps,768,22027,23,1744.5
ML-KEM,decaps,768,22018,24,1743.8
ML-KEM,decaps,768,22009,25,1743.1
ML-KEM,decaps,768,22016,26,1743.7
ML-KEM,decaps,768,22021,27,1744.1
ML-KEM,decaps,768,22016,28,1743.7
ML-KEM,decaps,768,22021,29,1744.1
ML-KEM,decaps,768,22022,30,1744.1
ML-KEM,keygen,1024,25688,1,2034.5
ML-KEM,keygen,1024,25193,2,1995.3
ML-KEM,keygen,1024,25383,3,2010.3
ML-KEM,keygen,1024,25138,4,1990.9
ML-KEM,keygen,1024,25154,5,1992.2
ML-KEM,keygen,1024,25136,6,1990.8
